,NOCTRL,DIRECCION,COLONIA,CP,TELEFONO
1,22308060610297,PROF. MARIA EDMETT ALVAREZ,INDEPENDENCIA 2,32670,(656) 225-0901
2,22308060610430,AMATISTA,MORELOS,32670,6568521911
3,22308060610299,DEL RAYO,PALO CHINO,1,
4,22308060610300,OASIS DE PALAU,,2,
5,22308060610301,DEL PAPAYO,LAS HUERTAS,32675,(656) 825-8441
6,22308060610305,OASIS DE BAGDAD,PRADERA DE LOS OASIS,,
7,22308060610308,PRIVADA FRANCISCO SARABIA,DIVISION DEL NORTE,32670,(656) 679-7686
8,22308060610392,VISTAS DE GARCICRESPO,VISTA LOS OJITOS,32600,(656) 484-1872
9,22308060610310,PERLA,MORELOS,,
10,22308060610311,MA EDME ALVAREZ,INDEPENDENCIA 2,,
11,22308060610312,MANUEL GUARDILLA,OASIS REVOLUCION,,
12,22308060610315,MANANTHIAL DE LA PRIMAVERA,LOS OJITOS,32295,(656) 355-9136
13,22308060610316,BARRANCO AZUL,TORIBIO ORTEGA,32675,
14,22308060610693,OJO DE LEON,VISTA LOS OJITOS,,
15,22308060610445,PRIVA VISTAS DE HUMEDADES,FRACCA LOS OJITOS,32295,656764-3389
16,22308060610318,RINCON DE LAS FLORES SUR,FRAC. RINCON DEL SOLAR,,
17,22308060610321,PRIVADA PINO SUAREZ,LADRILLOS Y CALEROS,32676,(656) 171-0475
18,22308060610322,CARIDAD BRAVO ADAMS,INDEPENDENCIA II,,
19,22308060610325,GRAL EUGENIO AGUILAR,REVOLUCION MEXICANA,32670,(656) 430-8186
20,22308060610328,JACINTO CARRO,MORELOS,,
21,22308060610331,LENIN,MEXICO 68,32640,(656) 524-3083
22,22308060610333,VISTA DEL BRAVO,VISTA LOS OJITOS,32295,(656) 188-0840
23,22308060610336,GOLFO DE MEXICO,CD MODERNA,32670,(656) 741-7324
24,22308060610338,OASIS DE JORDANIA,PRADERAS DE LOS OASIS,32674,(656) 411-4011
25,22308060610341,FRANCISCO PORTILLO,,,
26,22308060610342,PLAYAS DE GUAYMAS,PRADERAS DEL PACIFICO,,
27,22308060610343,DEL MAMEY,LAS HUERTAS,,
28,22308060610345,MANANTIAL DE LA PRIMAVERA,VISTAS LOS OJITOS,32295,(656) 173-8558
29,22308060610347,PAVORREAL,GRANJAS DE CHAPULTEPEC,22677,(656) 210-3571
30,22308060610348,V. RECOWATA,,,
31,22308060610349,NUEVA VISCAYA,VILLA COLONIAL,32674,(656) 171-1703
32,22308060610350,FRANCISCO AGUIRRE,REVOLUCION MEXICANA,32670,(656) 196-6143
33,22308060610353,OBSIDIANA,LIBERTAD,32290,(656) 166-7969
34,22308060610474,GOLFO DE TEHUANTEPEC,CIUDAD MODERNA,32670,656107-8619
35,22308060610356,TOMAS ALBA EDISON,AZTECA,32280,(656) 138-4582
36,22308060610357,PRIVADA PINO SUAREZ 520,LADRILLEROS CALEROS,32670,(656) 859-5379
37,22308060610358,OASIS DE TOLEDO,PRADERA DE LOS OASIS,,
38,22308060610361,PRIVADA FRANCISCO SARABIA,DIVICION DEL NORTE,,
39,22308060610492,OASIS DE LETONIA,PRADERA DE LOS OASIS,32674,6565117310
40,22308060610364,VISTAS TINANUL,LOS OJITOS,33030,(656) 304-7764
41,22308060610366,ALBERTO CALAVERA,OASIS REVOLUCION,,
