N/L,NOMBRE_EMPRESA,DIRECCION,COLONIA,CP,TELEFONO,JEFE_INMEDIATO,CORREO,PUESTO,TIPO,GIRO,,,,,,
1,ESCUELA PRIMARIA MIGUEL RAMOS ARIZPE,PRIMITIVO URO 8801,SANTA MARIA,32676,6566312511,SOLEDAD PEÑA,solbonill@yahoo.com.mx,SUBDIRECTORA,PUBLICA,EDUCATIVO,,,,,,
2,ESCUELA SECUNDARIA TECNICA 30,PONCIANO ARRIAGA,INDEPENDENCIA II,32676,6564077328,SAMUEL LOPEZ AVILA,N/A,DIRECTOR,PUBLICA,EDUCATIVO,,,,,,
3,ADMTRONIK,SIERRA MADRE ORIENTAL,LA CUESTA,32653,6564077198,SERGIO F. FLORES GONZALEZ,fflores@admtronikgroup.com,INGENIERO,PRIVADA,INDUSTRIAL,,,,,,
4,ABARROTES NAHOMI,SERPIENTE 10345,COLINAS DEL NORTE,32123,6565301438,RODOLFO ALVARADO,rodolfo alvarado8209@gmail.com,ADMINISTRADOR,PRIVADA,COMERCIAL,,,,,,
5,ESCUELA PRIMARIA AGUSTIN MELGAR,MANANTIAL DE LAS FLORES S/N,LOS OJITOS,32295,6566806205,DIANA FERNANDEZ CARRANZA,diana.fernandez.car@chih.nuevaescuela.mx,SUBDIRECTORA,PUBLICA,EDUCATIVO,,,,,,
6,VITESCO TECHNOLOGIES,HORNOS 5024,PARQUE INDUSTRIAL JUAREZ,32540,6561810153,ADRIANA REYNA,N/A,JEFE DE RECURSOS HUMANOS,PRIVADA,INDUSTRIAL,,,,,,
7,FARMACIA DEL AHORRO,PLAZA DE LAS TORRES 8300,LAS TORRES,32698,656,CESAR ABRAHAM BEJARANO,cesarhej77@gmail.com,GERENTE,PRIVADA,COMERCIAL,,,,,,
8,CARPINTERIA VICTOR,GOLFO DE HONDURAS,CD MODERNA,32670,6562763387,VICTOR RAUL ARAMBULA,n/a,DUEÑO,PRIVADA,COMERCIAL,,,,,,
9,OPTICA MAX,BATALLA DE PUEBLA 3218,COLINAS DEL NORTE,32670,6566096558,TANIA GALVAN,tanis1831@gmail.com,OPTOMETRISTA,PRIVADA,COMERCIAL,,,,,,
10,SERVICIO MASTER,CAMPANILLAS 6702,PANAMERICANO JARDIN,32695,6561427175,NORMA GOMEZ JIMENEZ,service_master@live.com,JEFE ADMINISTRATIVO,PRIVADA,COMERCIAL,,,,,,
11,ESCUELA PRIMARIA MARIANO MATAMOROS,PRIMITIVO URO 8801,SANTA MARIA,32676,6566339297,YAZMIN SAGARNAGA,08dprllsza@seech.edu.mx,SUBDIRECTORA,PUBLICA,EDUCATIVO,,,,,,
12,CENTRO DE ASESORIAS EDUCAR PARA TRIUNFAR,PAVO REAL 562,LOMAS DE MORELOS,32676,6566389953,YADIRA CAJERO CORDOVA,n/a,DIRECTORA,A.CIVIL,EDUCATIVO,,,,,,
13,VETERINARIA MONIQUE,DIAZ DE BUSTAMANTE 7608,INDEPENDENCIA II,32670,6562055594,JOSE ABRAHAM MASCORRO AGUIRRE,al129533@outlook.com,MEDICO VETERINARIO,PRIVADA,COMERCIAL,,,,,,
14,ESCUELA PRIMARIA LIBERTAD,CORINDON S/N,LIBERTAD,32290,6566105506,JENDY MARISELA SEAÑEZ GAMBOA,N/A,DIRECTORA,PUBLICA,EDUCATIVO,,,,,,
15,PROJECT HOPE MISSIONS MEXICO,JOSE A PEDRAZA 11704,VILLA ESPERANZA,32675,6565596263,OLGA RUEDA,N/A,JEFE DE AREA,A.CIVIL,EDUCATIVO,,,,,,
16,FUNERALES RIOS,16 DE SEPTIEMBRE 2786,DEL CARMEN,32160,6566140138,GERMAN CANO,funeralesrios@gmail.com,GERENTE,PRIVADA,SERVICIOS,,,,,,
17,ESCUELA PRIMARIA PABLO GALEANA,CORAL 8013,GRANJAS DE CHAPULTEPEC,32676,6563208123,MARTIN AYALA RAMIREZ,nitram630822@hotmail.com,DIRECTIVO,PUBLICA,EDUCATIVO,,,,,,
18,IMSS,JUVENAL ARAGON ROMO 450,ZONA PRONAF,32315,6566161732,MONICA OROZCO,monica.orozco@imss.gob.mx,JEFE DE TRABAJPO SOCIAL,PUBLICA,SERVICIOS,,,,,,
19,RED MESA DE MUJERES CD. JUAREZ,ART. 3RO 354,SEGUNDA BUROCRATA,32340,6562817522,YADIRA CORTEZ,N/A,LIDER,A.CIVIL,SERVICIOS,,,,,,
